"feature_name","source_part","feature_family","model_feature_set","data_type","preprocessing","missing_policy","categorical_unknown_policy","leakage_status","entity_id_status","champion_eligible","notes"
"amount","Part 2/4","current_context_amount","F0|F2","numeric","median_imputer+missing_indicator","fit on Development only","not applicable","ALLOWED_AT_T0","NOT_USED_AS_PREDICTOR","true","Current transaction context; MCC is categorical, never ordinal."
"use_chip","Part 2/4","current_context_channel","F0|F2","categorical","OneHotEncoder(handle_unknown=ignore)","fit on Development only","ignore","ALLOWED_AT_T0","NOT_USED_AS_PREDICTOR","true","Current transaction context; MCC is categorical, never ordinal."
"merchant_category_code","Part 2/4","current_context_mcc","F0|F2","categorical","OneHotEncoder(handle_unknown=ignore)","fit on Development only","ignore","ALLOWED_AT_T0","NOT_USED_AS_PREDICTOR","true","Current transaction context; MCC is categorical, never ordinal."
"state_missing_flag","Part 2/4","current_context_missingness","F0|F2","numeric","median_imputer+missing_indicator","explicit structural flag","not applicable","ALLOWED_AT_T0","NOT_USED_AS_PREDICTOR","true","Current transaction context; MCC is categorical, never ordinal."
"user_prior_txn_count","Part 4","entity_history","F1|F2","numeric_or_binary","median_imputer+missing_indicator_or_binary","0 when none","not applicable","PIT_VALIDATED","JOIN_KEY_AUDIT_ONLY","true","history crosses splits"
"card_prior_txn_count","Part 4","entity_history","F1|F2","numeric_or_binary","median_imputer+missing_indicator_or_binary","0 when none","not applicable","PIT_VALIDATED","JOIN_KEY_AUDIT_ONLY","true","history crosses splits"
"merchant_prior_txn_count","Part 4","entity_history","F1|F2","numeric_or_binary","median_imputer+missing_indicator_or_binary","0 when none","not applicable","PIT_VALIDATED","JOIN_KEY_AUDIT_ONLY","true","raw merchant identifier retained for audit"
"user_cold_start","Part 4","cold_start","F1|F2","numeric_or_binary","median_imputer+missing_indicator_or_binary","0/1 flag","not applicable","PIT_VALIDATED","JOIN_KEY_AUDIT_ONLY","true","no label history"
"card_cold_start","Part 4","cold_start","F1|F2","numeric_or_binary","median_imputer+missing_indicator_or_binary","0/1 flag","not applicable","PIT_VALIDATED","JOIN_KEY_AUDIT_ONLY","true","no label history"
"merchant_cold_start","Part 4","cold_start","F1|F2","numeric_or_binary","median_imputer+missing_indicator_or_binary","0/1 flag","not applicable","PIT_VALIDATED","JOIN_KEY_AUDIT_ONLY","true","no label history"
